district,district_check,merge,province,year,mz_ha_dry,mz_ha_irr,mz_pr_dry,mz_pr_irr,wh_ha_dry,wh_ha_irr,wh_pr_dry,wh_pr_irr
Mapumulo,Mapumulo,,KwaZulu-Natal,2007,,,,,,,,
Marquard,Marquard,,Free State,2007,9404,3,25578,18,2504,,5004,
Matatiele,MARR,s3,KwaZulu-Natal,2007,20,,90,,,,,
Messina,Messina,,Limpopo,2007,150,50,420,130,107,474,262,2976
Mhlabathini,Mhlabathini,,KwaZulu-Natal,2007,90,,378,,,,,
Middelburg,Middelburg,,Eastern Cape,2007,391,573,416,5559,100,175,327,1197
Middelburg,Middelburg,,Mpumalanga,2007,81292,5915,325475,51008,,107,,451
Mitchells Plain,Mitchells Plain,,Western Cape,2007,,,,,,,,
Mmabatho,Mmabatho,,North West,2007,1222,87,2817,395,,,,
Mokerong,Mokerong,,Limpopo,2007,831,174,4490,1087,,,,
Molteno,Molteno,,Eastern Cape,2007,10,25,35,109,,,,
Montagu,Montagu,,Western Cape,2007,12,,38,,265,,411,
Mooi,Mooi,,KwaZulu-Natal,2007,1445,252,7939,1619,,,,
Moorreesburg,Moorreesburg,,Western Cape,2007,730,462,2318,1767,31829,1428,79000,3595
Mossel,Mossel,,Western Cape,2007,65,,189,,1344,20,2045,60
Mount Currie,Mount Currie,s3,KwaZulu-Natal,2007,,,,,,,,
Mount Currie,Mount Currie,s3,KwaZulu-Natal,2007,7746,1049,30314,5414,1065,250,2726,1440
Msinga,Msinga,,KwaZulu-Natal,2007,,,,,,,,
Mthonjaneni,Mthonjaneni,,KwaZulu-Natal,2007,,,,,,,,
Mtunzini,Mtunzini,,KwaZulu-Natal,2007,,186,,2233,,,,
Murraysburg,Murraysburg,,Western Cape,2007,,,,,1201,,3223,
Namakwaland,Namakwaland,,Northern Cape,2007,185,50,572,252,485,38,558,106
Naphuno,Naphuno,,Limpopo,2007,,30,,133,,,,
Ndwedwe,Ndwedwe,,KwaZulu-Natal,2007,,,,,,,,
Nelspruit,Nelspruit,,Mpumalanga,2007,6865,861,23303,6024,,,,
New Hanover,New Hanover,,KwaZulu-Natal,2007,277,,1085,,,,,
Newcastle,Newcastle,,KwaZulu-Natal,2007,1323,829,4555,5247,19,25,47,61
Ngotshe,Ngotshe,,KwaZulu-Natal,2007,115,11,393,103,,,,
Nigel,Nigel,,Gauteng,2007,14191,507,48214,4058,,,,
Nkomazi,Nkomazi,,Mpumalanga,2007,,,,,,,,
Noupoort,Noupoort,,Northern Cape,2007,,,,,,,,
Oberholzer,Oberholzer,,Gauteng,2007,115,155,267,1360,,,,
Odendaalsrus,Odendaalsrus,,Free State,2007,12802,579,48757,1926,437,,1025,
Oudtshoorn,Oudtshoorn,,Western Cape,2007,142,10,504,80,560,75,1550,375
Paarl,Paarl,,Western Cape,2007,106,13,255,105,3651,,10810,
Parys,Parys,,Free State,2007,3834,,7473,,2025,,5625,
Paulpietersburg,Paulpietersburg,,KwaZulu-Natal,2007,4474,365,18367,2604,,,,
Pearston,Pearston,,Eastern Cape,2007,,,,,,,,
Peddie,Peddie,,Eastern Cape,2007,,,,,,,,
Pelgrimsrus,Pelgrimsrus,,Mpumalanga,2007,975,247,3806,1373,,,,
Petrusburg,Petrusburg,,Free State,2007,10008,829,25129,6849,10868,838,19590,4586
Phalaborwa,Phalaborwa,,Limpopo,2007,127,188,464,2259,,17,,102
Philippolis,Philippolis,,Free State,2007,,14,,87,,,,
Philipstown,Philipstown,,Northern Cape,2007,115,2264,391,19893,80,2171,207,12719
Phokwani,Phokwani,,North West,2007,,,,,,,,
Piet Retief,Piet Retief,,Mpumalanga,2007,12176,3243,55586,14927,1000,100,2850,650
Pietermaritzburg,Pietermaritzburg,,KwaZulu-Natal,2007,25,,166,,,,,
Pietersburg,Pietersburg,,Limpopo,2007,732,156,1684,1796,66,,189,
Piketberg,Piketberg,,Western Cape,2007,4061,,7893,,45438,1074,110715,3080
Pinetown,Pinetown,,KwaZulu-Natal,2007,,,,,,,,
Polela,Polela,,KwaZulu-Natal,2007,,,,,,,,
Port Elizabeth,Port Elizabeth,,Eastern Cape,2007,,,,,,,,
Port Shepstone,Port Shepstone,,KwaZulu-Natal,2007,1085,,6388,,184,,734,
Postmasburg,Postmasburg,,Northern Cape,2007,,,,,,,,
Potchefstroom,Potchefstroom,,North West,2007,15183,1951,40474,16205,81,597,244,3342
Potgietersrus,Potgietersrus,,Limpopo,2007,6308,748,13214,5299,1552,466,3815,2291
Pretoria,Pretoria,,Gauteng,2007,300,135,1140,1118,90,,450,
Prieska,Prieska,,Northern Cape,2007,818,8562,3681,84188,698,7801,1864,49362
Prince Albert,Prince Albert,,Western Cape,2007,,27,,330,,11,,35
Queenstown,Queenstown,,Eastern Cape,2007,1919,90,7877,782,,,,
Randburg,Randburg,,Gauteng,2007,350,,1050,,,,,
Randfontein,Randfontein,,Gauteng,2007,3950,80,12414,640,,,,
Reddersburg,Reddersburg,,Free State,2007,488,17,344,14,43,,50,
Reitz,Reitz,,Free State,2007,25137,999,60422,3789,17871,925,39588,4970
Richmond,Richmond,,KwaZulu-Natal,2007,637,169,4252,1456,,,,
Richmond,Richmond,,Northern Cape,2007,,,,,,,,
Riversdal,Riversdal,,Western Cape,2007,1942,,4155,,5110,43,15750,106
Robertson,Robertson,,Western Cape,2007,415,,882,,90,12,50,50
Roodepoort,Roodepoort,,Gauteng,2007,,,,,,,,
Rouxville,Rouxville,,Free State,2007,162,29,173,317,108,36,142,200
Rustenburg,Rustenburg,,North West,2007,18948,1075,44745,6436,115,51,261,260
Sasolburg,Sasolburg,,Free State,2007,5918,341,13975,2105,1207,212,2201,1076
Schweizer-Reneke,Schweizer-Reneke,,North West,2007,70086,494,191237,2364,2266,41,5990,225
Sekhukhuneland,Sekhukhuneland,,Limpopo,2007,591,33,1507,271,105,14,293,80
Senekal,Senekal,,Free State,2007,16162,367,37228,1441,4801,100,12702,500
Simdlangentsha,Simdlangentsha,,KwaZulu-Natal,2007,,,,,,,,
Simon Town,Simon Town,,Western Cape,2007,,,,,,,,
Smithfield,Smithfield,,Free State,2007,25,82,22,581,,,,
Somerset East,Somerset East,,Eastern Cape,2007,,92,,713,,52,,312
Somerset West,Somerset West,,Western Cape,2007,,,,,521,,1285,
